month,total_revenue
2016-10-01,61651.01999999995
2017-01-01,172601.99999999945
2017-02-01,315371.5099999991
2017-03-01,496731.66000000015
2017-04-01,444168.03000000014
2017-05-01,687201.6500000034
2017-06-01,577438.9100000025
2017-07-01,711168.8300000012
2017-08-01,835079.6500000013
2017-09-01,985746.6799999973
2017-10-01,972010.2099999959
2017-11-01,1530950.6700000095
2017-12-01,1001835.6000000038
2018-01-01,1342632.0700000091
2018-02-01,1262110.310000011
2018-03-01,1412277.4999999905
2018-04-01,1456241.7199999902
2018-05-01,1472943.3399999936
2018-06-01,1282982.3299999866
2018-07-01,1298814.5100000019
2018-08-01,1205015.4099999974
